"identity_key","system_id","tango_touchpoints","what_it_drives","interface","autonomy","failure_handling","access_status"
"doi:10.48550/arxiv.2507.14267","DREAMS","config-generation;solver-control;hpc-scale-out;uncertainty-quantification;provenance-reproducibility","Quantum ESPRESSO periodic DFT calculations, with inputs built via ASE and AutoCat and jobs dispatched to a SLURM cluster","cli","executes-and-iterates","a dedicated convergence agent analyses input, output and error files when calculations fail or need diagnosis and recommends parameter modifications; the authors also report agents disregarding convergence results and circumventing provenance checks","full-text"
"doi:10.1063/5.0294696","CFDagent","topology-construction;config-generation;solver-control;results-interpretation","an in-house immersed-boundary Navier-Stokes flow solver, unnamed beyond immersed boundary method solver, fed geometry generated by Point-E and GLIDE and converted via Marching Cubes and signed-distance-function regression","code-execution","executes-and-iterates","not stated","full-text"
"arxiv:2605.23273","TopOptAgents","config-generation;optimisation-loop;results-interpretation","generated Python topology-optimisation scripts that call FEniCS for the finite element solve and pyOptSparse with SNOPT as the optimiser","code-execution","executes-and-iterates","on execution errors the Reviewer agent invokes the Coder agent with a correction strategy and prompts it to revise the program until it runs successfully; if the expected output is not obtained, the Reviewer sends the process back to the Coder for error correction","full-text"
"doi:10.48550/arxiv.2512.06404","GENIUS","config-generation;solver-control","Quantum ESPRESSO pw.x v7.2 input files, executed and repaired via its CRASH error output","file-io","executes-and-iterates","QE writes a CRASH file; an LLM extracts keywords from the error message, queries the knowledge graph and retries; exhausting retries escalates to the next model in the tier hierarchy, which restarts error resolution from the original recommendation","full-text"
"doi:10.48550/arxiv.2512.13930","MASTER","config-generation;solver-control;optimisation-loop;results-interpretation","VASP DFT calculations of CO adsorption energies on ASE-generated Cu(100) adatom and metal-nitrogen-carbon slab structures","code-execution","executes-and-iterates","not stated for solver failure; the only recovery loop described is reviewer rejection of a candidate structure, which returns written feedback to the generator agent with an incremented version number","full-text"
"doi:10.48550/arxiv.2605.24002","AtomisticSkills","tool-exposure;solver-control","VASP DFT jobs, atomate2 and ASE workflows, MACE, FairChem and MatGL machine-learned-potential molecular dynamics, OpenMM simulations and AutoDock Vina docking runs, launched from a coding agent shell","code-execution","executes-with-approval","not stated","full-text"
"arxiv:2605.26179","AutoDFT","config-generation;solver-control;verification-regression;results-interpretation","VASP calculations - INCAR and KPOINTS parameter sets and multi-step VASP workflows, with vaspkit post-processing","file-io","executes-and-iterates","a Monitor agent watches the running job and issues verdicts; on a Terminate verdict the Recovery Agent diagnoses the failure and generates modified parameters for a retry, and the plan itself can be modified","full-text"
"doi:10.48550/arxiv.2509.10210","Petkovic2025-raspa-multiagent","config-generation","RASPA Monte Carlo adsorption simulation input files - simulation.input plus force-field definition files - for zeolite frameworks","file-io","suggests","not stated - errored runs are counted through the execution rate metric but no recovery behaviour is described","full-text"
"doi:10.1109/ipdps65963.2026.00114","Academy","hpc-scale-out;tool-exposure;solver-control","LAMMPS GPU molecular-dynamics stability calculations and CP2K optimisations in a metal-organic-framework discovery pipeline, dispatched onto Aurora and Polaris through Globus Compute and Parsl executors","api","executes-and-iterates","the paper notes research infrastructure can fail and that agents may want to perform periodic state checkpointing, but Academy deliberately does not enforce a specific checkpointing mechanism; no recovery for a failed scientific computation is described, and the authors separately flag codes that ran without errors but produced incorrect results","full-text"
"doi:10.48550/arxiv.2608.15881","MOOSEnger","config-generation;solver-control;verification-regression","MOOSE multiphysics finite element input decks, drafted, syntax-checked via the MOOSE language server and executed","file-io","executes-and-iterates","errors surfaced by the MOOSE checks or run are fed back as evidence, the agent repairs the input file and re-runs the checks, iterating; the worked case needed three validation-and-repair iterations over 25 tool calls","full-text"
"doi:10.1145/3770855.3818856","Battery-Sim-Agent","optimisation-loop;results-interpretation","a PyBaMM Doyle-Fuller-Newman battery model, with parameter sets passed to the DFN solver and simulated voltage and current trajectories returned","api","executes-and-iterates","the authors report that some proposed parameter combinations make state variables negative or singular and the solver cannot resolve these fundamental physical singularities; such cases were screened out when constructing the benchmark rather than handled inside the loop","full-text"
"doi:10.48550/arxiv.2604.22571","LARA-HPC","config-generation;hpc-scale-out;tool-exposure;verification-regression","BigDFT DFT calculations on the Fugaku supercomputer, submitted through Python workflow scripts built on the remotemanager package","mcp","executes-with-approval","if issues are detected, structured feedback is generated and the workflow is returned to the generation phase for correction; dry runs are used for execution-level verification before real submission","full-text"
"doi:10.48550/arxiv.2604.11945","AutoSurrogate","surrogate-modelling;optimisation-loop;results-interpretation","a PyTorch surrogate-training and Optuna hyperparameter-optimisation loop over a dataset of 1,000 GEOS geologic-carbon-storage simulations; the agents drive the training stack, not GEOS itself, which generated the dataset beforehand","code-execution","executes-and-iterates","if numerical instability is detected the hyperparameter search space is tightened by reducing the upper bound on admissible learning rates and strengthening gradient clipping constraints","full-text"
"arxiv:2607.11084","NAIS","config-generation;verification-regression","PLINK2 GWAS and polygenic-risk-score pipelines executed as Kubeflow Pipelines jobs on Kubernetes, plus SQL cohort extraction against a hospital clinical database, all mediated through a Broker API","api","executes-with-approval","when jobs fail the agent inspects broker events, pod logs and pipeline status before resubmitting","full-text"
"arxiv:2604.02688","MatClaw","solver-control;surrogate-modelling;optimisation-loop;hpc-scale-out","VASP DFT jobs, LAMMPS molecular dynamics with DeePMD-kit machine-learning force fields and phonopy, orchestrated through pymatgen, atomate2 and jobflow-remote on remote HPC clusters","code-execution","executes-and-iterates","when runtime errors arise - incorrect function calls, database limits, sandbox restrictions - the agent diagnoses the cause and self-corrects autonomously, typically within one or two additional steps","full-text"
"arxiv:2606.18425","pegasus-ai","config-generation;topology-construction;hpc-scale-out;verification-regression","Pegasus workflow DAGs - a federated-learning medical-imaging workflow over CT, MRI and chest X-ray images - executed by HTCondor across four FABRIC testbed sites","code-execution","executes-and-iterates","a validation loop repairs runtime failures, checks code against the stated constraints and regenerates the implementation from the specification alone; the debugging loop consumes exit codes, logs and held-job records","full-text"
"arxiv:2512.23010","Masgent","config-generation;surrogate-modelling;results-interpretation;optimisation-loop","VASP input decks and SLURM job scripts which a human submits, plus the SevenNet, CHGNet, Orb-v3 and MatterSim machine-learned potentials and Optuna training, which Masgent does execute in process","code-execution","suggests","manual - the authors state that diagnosing subtle VASP error messages or optimizing HPC job scheduling may still require manual intervention and domain expertise, and automated error recovery is named as future work","full-text"
"doi:10.1016/j.taml.2025.100623","OpenFOAMGPT","config-generation;solver-control","OpenFOAM v2406 case directories and its solvers icoFoam, simpleFoam, interFoam, MPPICFoam, pimpleFoam and buoyantBoussinesqSimpleFoam","file-io","executes-and-iterates","upon failure detection the error data are appended to the original query and the process cycles again, capped at 20 inference iterations per trial; complex cases still exhausted the budget without producing valid solver files","full-text"
"doi:10.48550/arxiv.2602.00185","QUASAR","config-generation;solver-control;results-interpretation;surrogate-modelling","Quantum ESPRESSO input decks, LAMMPS molecular dynamics scripts, RASPA3 Monte Carlo simulations and MACE machine-learned potentials, with ASE and pymatgen for structure handling","code-execution","executes-and-iterates","if clear issues are detected, such as a lack of DFT convergence, the Operator terminates the run and attempts to reconstruct or optimise the input parameters; a separate Evaluator gates task completion and discards failed attempts from context","full-text"
"doi:10.48550/arxiv.2602.17886","El Agente Solido","config-generation;solver-control;results-interpretation;hpc-scale-out","Quantum ESPRESSO input files submitted through SLURM, plus Phonopy phonon calculations, UMA and MACE pre-relaxations and PORMAKE framework construction, on named materials including Si, MgO, Cu, Pt, CsPbI3 and LiFePO4","code-execution","executes-and-iterates","if any calculation fails, the DFT subagent troubleshoots the issue by modifying the input files and passing the revised files to the running subagent for resubmission","full-text"
"doi:10.48550/arxiv.2504.08621","MooseAgent","config-generation;solver-control","MOOSE multiphysics input decks and the MOOSE executable that runs them","file-io","executes-and-iterates","the agent re-reads the MOOSE error output and rewrites the input in an execute-analyze-correct loop capped at three rounds; the authors report the dominant failure mode is that all unsuccessful attempts were caught in an infinite loop, the agent repeatedly trying to fix an error by calling a particular function","full-text"
"doi:10.1038/s41598-025-92337-6","MDAgent","config-generation","LAMMPS input and simulation scripts - 127 simulation and 40 modelling scripts in the training corpus - executed inside a Docker container","code-execution","executes-with-approval","escalation to the human rather than automated recovery - when the agent is unable to complete a task independently it can pause the current process and request clarification or assistance from the user","full-text"
"doi:10.48550/arxiv.2504.06260","FEABench","config-generation;solver-control;results-interpretation;verification-regression","COMSOL Multiphysics models built by emitting Java API calls for geometry, materials, physics interfaces, mesh, study and export, executed from Python via JPype and MPh","api","executes-and-iterates","the agent receives execution feedback and a fitness score and proposes a corrected solution; the authors note the dominant failure is silent, where the partially constructed model exports nothing or an incorrect value","full-text"
"doi:10.48550/arxiv.2603.03372","TritonDFT","config-generation;solver-control;optimisation-loop;hpc-scale-out;results-interpretation;verification-regression","Quantum ESPRESSO v7.4 input decks and executable chains from pw.x through ph.x, q2r.x and matdyn.x, launched with MPI/OpenMP on local servers or Slurm-managed clusters","code-execution","executes-and-iterates","configurations that fail to achieve convergence are treated as invalid points in the accuracy-cost space and excluded from Pareto consideration - non-convergence is scored as an invalid point rather than repaired","full-text"
"doi:10.48550/arxiv.2506.05616","MAPPS","surrogate-modelling;solver-control","ASE and CHGNet structure relaxations over candidate CIF files, plus pymatgen space-group and structure-matching analysis, invoked from LLM-synthesised Python; VASP DFT is used for evaluation rather than driven by the agent","code-execution","executes-with-approval","runtime errors produce a diagnostic error signal that triggers the Tool Code Generator to revise and regenerate the code; the generated relaxation code itself wraps each structure in try/except","full-text"
"doi:10.48550/arxiv.2607.15001","LQCDMaster","config-generation;hpc-scale-out;verification-regression","PyQUDA measurement scripts and SLURM job-submission scripts run against the CLQCD C24P29 gauge ensemble, including gauge loading, multi-grid solver setup, sequential-source propagators and MPI data layout","code-execution","executes-with-approval","routine errors such as einsum index mismatches, gauge-context lifetime errors and array-shape problems are detected by static analysis or test execution and corrected automatically; residual errors surface only at the numerical-comparison stage, which the authors name as the primary failure mode the critique-rewrite pipeline did not fully catch","full-text"
"doi:10.48550/arxiv.2601.20996","MADE","optimisation-loop;surrogate-modelling","an orb-v3 machine-learned-potential formation-energy oracle with relaxation, the Chemeleon crystal structure generator and a MACE ranking surrogate, inside the MADE environment, with pymatgen convex hulls defining the reward","api","executes-and-iterates","not stated","full-text"
"doi:10.48550/arxiv.2601.09749","R-LAM","provenance-reproducibility","scikit-learn workflow functions invoked as schema-validated actions through an adapter layer; no domain simulator or solver is driven","code-execution","executes-and-iterates","when an action fails the execution engine records the failure type, error context and partial outputs in the trace and enters a failure-aware control loop rather than terminating unconditionally; each recovery attempt is logged as a new action node and a maximum of 10 steps is enforced","full-text"
"doi:10.1038/s44172-025-00583-3","Tan2026-aspen-reasoning-agent","config-generation;topology-construction;optimisation-loop;techno-economic","an Aspen Plus flowsheet - a shortcut column then a rigorous RadFrac column with sensitivity analyses and design specifications, then a heat-pump-assisted flowsheet with compressor, heat exchangers and splitter - written as generated input files and run through Aspen Plus API commands","file-io","executes-with-approval","not stated","full-text"
"doi:10.69997/pse.120458","Laub2026-text2flowsheet-pipeline","topology-construction;config-generation;optimisation-loop","an established commercial process simulator, unnamed - digitised flowsheet graphs are systematically translated into its simulations and then parameter-fitted unit by unit","not stated","executes-and-iterates","convergence failures are resolved by simplifying the flowsheet, and the simplification is logged rather than hidden","full-text"
"doi:10.48550/arxiv.2408.15866","Sakhinana2024-rait","solver-control;tool-exposure","Python numerical libraries called from generated, executed programs - SciPy solve_ivp for ODE and DAE integration, NumPy and Matplotlib - plus the Wolfram Alpha and Stack Overflow APIs; no process simulator or flowsheet is driven","code-execution","executes-and-iterates","if code generation raises an error the result includes the error message, the faulty code snippet and the error trace identifying the specific tool causing the error; the framework localises the offending call, regenerates the program using that tool documentation and prior history, and repeats until the program executes successfully or reaches a maximum number of iterations","full-text"
"doi:10.1016/j.ijheatfluidflow.2026.110399","OpenFOAMGPT","config-generation;solver-control;results-interpretation;verification-regression","OpenFOAM v2406 case files inside a Docker container - blockMesh and snappyHexMesh meshing, boundary-condition and scheme dictionaries, the icoFoam and multiphase solvers and the generated Allrun script - plus ParaView output and generated Python plotting scripts","file-io","executes-and-iterates","the module captures detailed error logs and contextual information about the failure and structures this feedback for the LLM, which is fed back along with the original case prompt and system constraints, creating a closed-loop process that iteratively improves configurations until successful simulation","full-text"
"doi:10.20944/preprints202608.1323.v1","Sedova2026-olcf-ai-coding-agents","config-generation;hpc-scale-out;provenance-reproducibility","a MACE-LAMMPS coupled build on Frontier using the ACEsuit LAMMPS fork with the ML-MACE package, Kokkos and HIP gfx90a targeting; a 20,000-step ASE MACE molecular-dynamics trajectory; OpenMM AMOEBA NPT simulations at 1 fs timestep and 1 ns per replica launched eight replicas to a single srun; a Spack environment building CP2K with GPU support; and distributed MACE training across two to eight GCDs","cli","executes-with-approval","the agent recorded missing batch-environment commands, compile-mode incompatibilities and ASE HIP out-of-memory behaviour; the authors note a Spack and cray-mpich linkage failure detectable ""only after extensive debugging"" and argue that future tools should treat negative evidence as a first-class object","full-text"
"doi:10.1016/j.taml.2025.100594","NL2FOAM","config-generation;solver-control","OpenFOAM-v2406 case directories - system/controlDict, fvSchemes and fvSolution, the 0/U initial fields, boundary conditions and an execution script - for the icoFoam, simpleFoam, pisoFoam and pimpleFoam solvers","file-io","executes-and-iterates","the runner monitors real-time logs and on error the corrector analyses and resolves the issue, resubmitting the corrected files in a cycle until the simulation completes; a run counts as failed if it does not reach a convergent solution within 72 hours or 10 correction attempts","full-text"
"doi:10.1016/j.taml.2026.100660","OptMetaOpenFOAM","config-generation;solver-control;optimisation-loop;surrogate-modelling;results-interpretation","OpenFOAM 10 cases run through MetaOpenFOAM 2.0 - the PitzDaily RANS case, CounterFlowFlame2D, BuoyantCavity, homogeneous isotropic turbulence and a two-dimensional hydrogen combustion chamber on a 50x50x1 grid run with reactingFoam - plus scipy.optimize L-BFGS-B and an active-subspace sensitivity and response-surface library","code-execution","executes-and-iterates","not stated","full-text"
"doi:10.5281/zenodo.20543501","OASiS","config-generation;topology-construction;solver-control;tool-exposure;verification-regression;results-interpretation","FEniCSx, NGSolve, scikit-fem and DUNE-fem through Python, deal.II through C++, 4C Multiphysics through YAML input decks, Kratos Multiphysics through JSON and FEBio through XML, plus Gmsh for mesh generation and preCICE for coupling","mcp","executes-and-iterates","the documentation instructs the agent to consider an alternative solver if the simulation fails after multiple attempts, the knowledge base covers nonlinear convergence criteria and failure-signal paths explicitly, and a results critic must use the validation action to check for NaN, constant fields and suspiciously large values","full-text"
"doi:10.5281/zenodo.19835550","M.A.R.V.I.N.","none","designed to drive pycalphad multicomponent equilibrium calculations, ESPEI Bayesian MCMC database assessment and the kawin precipitation-kinetics module over MCP tool contracts, but in the reported work these were run by the authors own scripts rather than by an agent","mcp","not stated","not stated","full-text"
"doi:10.48550/arxiv.2509.20374","CFDLLMBench","config-generation;topology-construction;solver-control;verification-regression","OpenFOAM v10 cases - 110 basic cases derived from 11 reference OpenFOAM cases with ten parameter variations each, plus 16 advanced cases including a two-obstacle case - and standalone Python PDE solvers for the coding benchmark","file-io","executes-and-iterates","the reviewer agent supports a trial-and-error loop mimicking human troubleshooting; the authors analyse the failure taxonomy explicitly, finding that retrieval mitigates configuration errors such as missing physical properties or undefined keywords while the reviewer reduces reasoning and consistency errors such as mismatched boundary conditions","full-text"
"doi:10.1002/aidi.202500174","ChatCFD","config-generation;solver-control;results-interpretation;verification-regression","OpenFOAM case directories and binaries - solver selection across compressible and incompressible, steady and transient regimes including simpleFoam, rhoCentralFoam and pisoFoam, turbulence-model and thermophysical files, and fluentMeshToFoam mesh conversion - with literature reproductions of a NACA0012 airfoil and a supersonic nozzle","file-io","executes-and-iterates","errors are typed and routed: general errors, over 70% of runtime errors, go through suspicious-file detection, error confirmation, retrieval of related tutorial files and file modification; persistent errors trigger a reflection module that writes structured insights into long-term memory, and correction is capped by a maximum reflection-iteration limit","full-text"
"doi:10.48550/arxiv.2607.22596","URSA LAMMPS agent","config-generation;solver-control;results-interpretation;verification-regression","LAMMPS input decks executed via MPI or Kokkos on GPU resources, using embedded-atom-method interatomic potentials enumerated with atomman and downloaded from the NIST interatomic potentials repository, plus Python post-processing code written by the URSA execution agent","file-io","executes-and-iterates","on error the agent invokes a second language model with the full history of previously generated LAMMPS scripts and their errors, iterating until the simulation succeeds or a user-specified iteration limit is reached, with the terminal output showing the initial script and each subsequent edit","full-text"
"arxiv:2604.24696","NeuroClaw","config-generation;verification-regression;provenance-reproducibility","FSL, FreeSurfer, fMRIPrep, QSIPrep and ANTs neuroimaging pipelines over BIDS-organised ADNI, HCP Young Adult and UK Biobank data, inside pinned Python environments and Docker containers","code-execution","executes-and-iterates","post-execution verification uses expected-artifact checks, missing-file detection, NaN and Inf screening and quality-control validation, with session-level checkpointing and resumability; nothing is stated about what happens when a driven tool errors or a pipeline diverges","full-text"
"arxiv:2606.05050","CatDT","topology-construction;solver-control;optimisation-loop;results-interpretation;techno-economic;verification-regression","SurFF facet ranking, VSSR-MC surface-reconstruction Monte Carlo, AdsorbDiff placement, two-phase climbing-image nudged elastic band on the UMA universal machine-learned potential, slow-growth molecular dynamics, and the CatMAP microkinetic solver and electrochemical kinetic Monte Carlo, on Ni(111), Cu(211), Ni5Ga3, hcp-PdMo, MoS2, Mo2C and Ni on titanium-oxide slabs built from bulk crystal input","api","executes-and-iterates","when a nudged-elastic-band run fails to converge or an endpoint is rejected by the deterministic gate, the validation auditor diagnoses overlap, element-count or path-collision causes and proposes targeted geometric corrections feeding the next iteration, looping up to ten times; barriers outside a physically plausible window return to redesign, and non-convergent or non-physical paths are retried through an adaptive ladder and screened by a post-run validator","full-text"
"arxiv:2602.11689","Xiao2026-openfoam-coding-agent","config-generation;topology-construction;solver-control","OpenFOAM v10 case directories - the constant, system and initial-field dictionaries such as thermophysicalProperties and blockMeshDict - and the OpenFOAM meshing and solver utilities blockMesh, snappyHexMesh, rhoCentralFoam and pimpleFoam, plus Gmsh through its Python API","code-execution","executes-and-iterates","the agent is directed to use OpenFOAM error logs to identify the first failure and apply corrective actions, illustrated by switching an unsupported mixture type after the log reported an unknown mixture; but on high-speed combustion setups the agent ""often triggered solver crashes or divergence and did not consistently converge to a stable configuration through log-driven edits alone""","full-text"
"doi:10.5281/zenodo.22554152","Corridor","config-generation;solver-control;verification-regression;provenance-reproducibility","LS-DYNA-format keyword decks run through the OpenRadioss solver - three cervical spine segments from the VIVA+ model, a head-neck complex from Stemper et al. 2004, and a Taylor bar impact deck","file-io","executes-with-approval","the solver energy-balance and mass-error diagnostics are parsed and gate scoring, so a model that terminates but violates energy conservation is not scored as trustworthy; repairs are confirmed by a disposable scratch-probe re-run before being proposed; unknown error codes fall back to conservative human escalation; and in the sweep agent each point has an independent pass or fail path","full-text"
"doi:10.3389/fchem.2026.1914886","DDA","tool-exposure;config-generation;verification-regression;results-interpretation","the TamGen structure-conditioned molecular generator, Uni-Dock and AutoDock-Vina-family docking, ADMET-AI property prediction, Fpocket binding-site detection, BioPython receptor preparation and RDKit and pandas post-processing, on CrossDocked2020 protein-ligand complexes","code-execution","executes-and-iterates","if the final candidate count falls below the requested number the controller expands the generation budget on a predefined recovery schedule and repeats processing, evaluation, selection and validation; generated wrappers get at most two refinement attempts after evaluator feedback; and once the retry budget is exhausted the workflow returns an explicit partial-delivery status","full-text"
"doi:10.1109/access.2025.3605803","LLeM","topology-construction;config-generation;solver-control;surrogate-modelling;results-interpretation","Ansys HFSS three-dimensional full-wave models of quad-flat-no-lead packages - geometry, materials, lumped terminal ports, a solution setup at 1 gigahertz with a convergence tolerance of 0.001 and an interpolating sweep from 1 megahertz to 8 gigahertz - driven through the PyAEDT Python API, with scikit-rf and a SPICE netlist writer downstream","api","executes-and-iterates","not stated - the only related text is that PyAEDT is used to launch a simulation and monitor convergence status; nothing is said about the response to a failed or non-converged solve","full-text"
"arxiv:2602.20683","Grid-Mind","tool-exposure;solver-control;optimisation-loop;results-interpretation;verification-regression","PandaPower AC power flow, optimal power flow and N-1 contingency screening on the IEEE 118-bus and smaller test cases, ANDES time-domain transient stability runs with a three-phase fault at the point of interconnection, and ParaEMT short-circuit-ratio screening, with PSS/E supported through the same solver-agnostic base class","api","executes-and-iterates","the intended fail-safe default is abstain-and-escalate: on solver non-convergence, missing inputs or ungroundable numerics the agent routes to human review rather than issuing an approval recommendation; the contingency tool runs a baseline power flow first and raises an explicit error on non-convergence; and the capacity search reverts to a coarse range scan when a monotonicity contradiction is detected","full-text"
"title:aspenplusmcpanmcpserveroftypedschemaconstrainedtoolsovertheaspenpluscomapi","Aspen-MCP","tool-exposure;config-generation;topology-construction;solver-control;techno-economic;provenance-reproducibility","Aspen Plus V14 backup flowsheets through the COM API - reading and writing stream and block data, building blank flowsheets into simulatable ones from a declarative spec, running them to convergence and running techno-economic analysis; an equation-oriented optimisation package and an external costing framework are orchestrated but not bundled","mcp","executes-and-iterates","an automatic taxonomy classifies each attempt as success, syntax, hallucinated path, wrong type, non-convergence, silent wrong or timeout; harness-level COM crashes are mitigated by retrying once on a fresh sandbox subprocess; a restart tool kills and reopens a wedged session; hung generated scripts are force-terminated after a timeout; and tool errors naming the available fields are described as diagnostic and acted on","full-text"
"title:mcpsolvermodelcontextprotocolserverforconstraintsolvingsatmaxsatsmtcpaspdp","MCP Solver","solver-control;optimisation-loop;tool-exposure;verification-regression;provenance-reproducibility","real constraint-solver libraries invoked from an agent-written Python program in a persistent kernel - python-sat for SAT, python-sat RC2 for MaxSAT, z3-solver for SMT, cpmpy for constraint programming, clingo for answer-set programming and didppy for domain-independent dynamic programming","mcp","executes-and-iterates","not stated beyond a default thirty-step cap before stopping and the logging of execution failures in an optional per-episode statistics file; submissions are syntax-checked server-side before being stored","full-text"
"title:247simulationloopshowagenticaikeepssubsurfaceengineeringmoving","Onishi2026-reservoir-simulation-assistant","solver-control;optimisation-loop;hpc-scale-out;results-interpretation;techno-economic","OPM Flow simulation decks - keyword editing, deck setup and run launching - plus in-house Python optimisation code running genetic-algorithm and particle-swarm well-placement searches on the Brugge benchmark model","api","executes-with-approval","self-healing logic proactively fixes convergence issues and input errors with an optional human in the loop, and a job manager monitors health to eliminate dead time from unexpected failures","full-text"
"title:automaticbuildingenergymodeldevelopmentanddebuggingusinglargelanguagemodelsagenticworkflow","Zhang2025-llm-planning-bem-workflow","config-generation;solver-control","EnergyPlus 22.2.0 input files for the NREL iUnit modular building - the agents write individual input objects, run the simulation and read the resulting error file to repair severe and fatal errors","file-io","executes-and-iterates","when an error is detected the debugging agent analyses the simulation error file to identify the problematic class and object, and the loop runs until no errors remain, with the agent recalling previous error messages to inform each subsequent iteration","full-text"
"arxiv:2607.18557","Agents4GEOS","config-generation;solver-control;surrogate-modelling;results-interpretation;verification-regression;provenance-reproducibility","GEOS XML input decks - schema-valid files of several hundred lines covering solvers, constitutive models, meshes, geometry, boundary conditions, events and outputs - for a carbon-dioxide sequestration benchmark, plus the GEOS runs themselves and their output fields","mcp","executes-with-approval","the simulator rejected the first input deck twice, and both diagnoses - a geometric conflict and an interface subtlety - were applied and persisted to a runtime-error knowledge base so later decks benefit; a bounded review loop re-invokes the producing agent with corrective feedback up to three times","full-text"
"doi:10.1016/j.softx.2025.102367","EnergyPlus-MCP","tool-exposure;config-generation;solver-control;results-interpretation","EnergyPlus input files and simulation runs - specifically the five-zone air-cooled example file, edited for lighting power and envelope solar gains and re-simulated for a baseline-versus-retrofit comparison, with weather files and output variables managed through the server","mcp","executes-and-iterates","not stated","full-text"
"doi:10.26868/30680611.2026.1305","Eppy-LLM","config-generation;solver-control;results-interpretation;verification-regression;provenance-reproducibility","EnergyPlus 25-1-0 input files for the NREL iUnit - named objects and fields including material thickness, building orientation, glazing and insulation parameters, edited through a Python input-file library - with the baseline and nine modified runs launched against a fixed weather file","file-io","executes-and-iterates","all simulations completed except one intentionally invalid glazing configuration, which the authors present as fault-tolerant behaviour; prevention is the stated mechanism, with the rule-based agent enforcing object-field consistency and preventing ill-formed edits that commonly cause simulation failure in manual workflows","full-text"
"doi:10.1080/19401493.2026.2653969","Chen2026-mcp-bem-paradigms","tool-exposure;config-generation;solver-control;results-interpretation;techno-economic;provenance-reproducibility","EnergyPlus input files of the NREL iUnit - envelope and infiltration objects edited into three retrofit alternatives and nine single-parameter variants covering orientation, window area, roof insulation thickness and material properties - each simulated against a Golden, Colorado weather file","mcp","executes-and-iterates","not stated - each run produces error logs and the discussion notes that agentic workflows ""require well-specified objectives and robust error handling"", but the paper never states what the system does when a simulation fails","full-text"
"doi:10.3390/buildings15173190","GPT+MCP framework","config-generation;solver-control;results-interpretation","OpenSeesPy finite-element models of three-dimensional frame structures, built from a language-model-generated JSON schema of geometry, materials and design actions","mcp","executes-with-approval","on a runtime error such as a stiffness-matrix singularity or non-convergence the server identifies the failure stage - input validation, execution or numerical solution - and delivers both a machine-readable report and a human-readable explanation","full-text"
"doi:10.3929/ethz-c-000801434","EngiAI","topology-construction;hpc-scale-out;tool-exposure","topology-optimisation problems from an engineering benchmark suite - a two-dimensional beam problem and a two-dimensional photonics problem - plus conditional generative and diffusion model training jobs submitted to a Slurm cluster over SSH, and a Prusa 3D printer","api","executes-with-approval","not stated; the only failure observation is behavioural degradation on long workflows, where the agent ceases to issue further calls","full-text"
"doi:10.48550/arxiv.2605.15028","PetroGraph","config-generation;solver-control;optimisation-loop;results-interpretation","ECLIPSE-format reservoir input decks executed by the OPM Flow simulator - the SPE1, SPE9 and Norne models - inside an optimiser loop with a weighted normalised root-mean-square-error objective","file-io","executes-and-iterates","the parameterising agent validates the input deck by dry runs at the minimum and maximum substituted values, and any error such as a non-monotonic relative permeability curve or an unsupported arithmetic expression is relayed back before the optimisation starts","full-text"
"doi:10.25417/uic.32994011.v1","Carbonati2026-multi-agent-llm-acquisition","optimisation-loop","a 30-query black-box optimisation loop over three objectives - the Rosenbrock analytical function, a machine-learning hyperparameter-tuning objective and a robot-pushing control simulator - with the agents replacing the acquisition function rather than the surrogate","api","executes-and-iterates","not stated","full-text"
"doi:10.1016/j.bdes.2026.100042","GAGAW","config-generation;solver-control;uncertainty-quantification;results-interpretation;verification-regression","pyGIMLi, SimPEG, ResIPy and PyHydroGeophysX electrical-resistivity-tomography forward modelling and inversion runs - standard, time-lapse difference and structure-constrained inversions - on field ERT and seismic refraction data from three named sites, plus PyDaymet climate retrieval and a Monte Carlo petrophysical conversion","code-execution","executes-and-iterates","a regular-expression fallback parser extracts key fields when the model returns ill-structured responses, preventing run-stopping failures, and file parser exceptions handle misidentified data formats; the author names invalid JSON configurations and misidentified formats as the typical failure cases encountered during development","full-text"
"doi:10.26434/chemrxiv.15006587/v1","Aspen-MCP","tool-exposure;topology-construction;config-generation;solver-control;optimisation-loop;techno-economic;results-interpretation;verification-regression","Aspen Plus steady-state flowsheets through the COM API - blocks and streams created and connected, feed and block specifications set, the sequential-modular solver run to convergence, and stream tables, capital and operating costs and an optimised operating point extracted","mcp","executes-and-iterates","failures are made recoverable in-loop by design: ""an invalid connection request returns the valid ports for the target block; an unrecognized input tag returns the block's valid fields; a feed-specification call reports which component flows were applied and which were rejected - turning errors into recoverable, in-loop feedback."" Convergence is handled by two dedicated tools - a Winn-Underwood-Gilliland shortcut method that initialises a rigorous column ""avoiding the solver failures that commonly attend an uninitialized column"", and a bisection design-specification tool - and ""convergence status is returned as a plain-language summary with an explicit converged/not-converged flag, with raw solver codes kept in a separate diagnostic field"". The analysis tools ""enforce a strict honesty discipline: an unconverged simulation is refused rather than costed, and an infeasible purity target is reported as such rather than answered with a fabricated optimum."" Malformed requests never reach the simulator at all: ""requests that do not match a tool's declared input format are rejected before they reach the simulator""","full-text"
